#front|back
力|[lì] (=活力 nénglì) energy, vitality, {family name}>, (=力量 lìliang) strength, force
機|[jī] (=機器 jīqi) machine; 收音機 shōuyīnjī radio; 飛機 fēijī aircraft
給|[gěi] give, give to, for, for the benefit of; 送給 sònggěi send/present to<br /><br />[jǐ] give, supply, provide, (=供給 gōngjǐ) provide
等|[děng] equal, class, wait, and so on, etc.
几|[jī] small table, 幾 幾乎 jīhū almost<br /><br />[jǐ] 幾 how many?, a few, (used in numerals)<br /><br />{Compare with 兒 ér child}
很|[hěn] very, quite; 很好 hěnhǎo very good; 很不錯! hěn búcuò! not bad at all!
業|[yè] line of business, trade, occupation, profession, course of study, engage in, {family name}>; 商業 shāngyè commerce; 工業 gōngyè industry; 作業 zuòyè homework
最|[zuì] most, marking for superlative; 最近 zuìjìn recently/soon; 最喜歡 zuì xǐhuan favorite
間|[jiān] room, between, locality, within given time or space, {classifier for rooms}><br /><br />[jiàn] gap, interval<br /><br />[gān] 半間不界 bàn'gānbùgà neither this nor that, inexplicit, equivocal, mediocre
新|[xīn] new, renew; 重新 chóngxīn again; 新聞 xīnwén news
甚|[shén] 什麽 shénme what?<br /><br />[shí] (=十 shí) ten<br /><br />[shèn] very; 甚至 shènzhì even, go so far as to<br /><br />[shén] (=什 shén) what?; 甚麽 = 什麽 shénme what?
打|[dǎ] strike, hit, get, play, (generalized verb with specific meaning determined by its object); 打算 dǎsuan plan, intend; 打開 dǎkāi open, unfold; 打擊 dǎjī strike, hitt, attack, assault<br /><br />[dá] dozen
便|[biàn] (=方便 fāngbiàn) convenient<br /><br />[pián] 便宜 piányi cheap<br /><br />{Compare with 使 shǐ send and 更 gèng more}
位|[wèi] place, location, position, {polite classifier for people}>
因|[yīn] cause, (=因為 yīnwèi) because, (=原因 yuányīn) reason
重|[zhòng] weight, considerable in amount/value, (=沈重 chénzhòng) heavy, weighty, (=重要 zhòngyào) important<br /><br />[chóng] again
被|[bèi] quilt, cover (with), by (indicates passive voice)<br /><br />[pī] 被服 pīfú = bèifú bedding and clothing, something one hangs on to
走|[zǒu] go, walk, leave
電|[diàn] (=閃電 shǎndiàn) (flash of) lightning, (=電氣 diànqì) electricity; 電話 diànhuà phone; 電腦 diànnǎo computer
四(A肆)|[sì] four; 四周 sìzhōu all around; 四月 sìyuè April
第|[dì] indicating ordinal number, ~th; 第三世界 dì-sān shìjiè 3rd World; 第一次 dì-yī cì 1st time
門|[mén] door, gate, family, house, valve, switch, {family name}>, {classifier for courses, braches of science, etc.}>; 門口 ménkǒu doorway; 部門 bùmén department; 門鈴 ménlíng doorbell
相|[xiāng] each other, mutual, mode, phase, {family name}><br /><br />[xiàng] look at, appearance, photo
次|[cì] occurence, time, second, inferior, number of times; 兩次 liǎng cì twice
