#front|back
小|[xiǎo] small; 大小 dàxiǎo size
么|[me/mo] (F麼,末) (interrogative suffix) 什么? shénme? what?; 为什么? wèishénme? why? 没什么! méi shénme! It doesn't matter!, Never mind!; 怎么? zěnme? how?<br /><br />[yāo] (S幺) youngest, one (e.g. in bus/house/phone numbers)
心|[xīn] heart; 小心 xiǎoxīn be careful; 心理 xīnlǐ psychology, mentality; 中心 zhōngxīn center
多|[duō] many, much, more; 多大 duōdà how large?; 多少 duōshǎo how many/much?
天|[tiān] sky, heaven, god, day, (=天空 tiānkōng) sky; 天气 tiānqì weather<br /><br />{天干 tiāngān the Ten Heavenly Stems: 甲乙丙丁戊己庚辛壬癸 jiǎ-yǐ-bǐng-dīng-wù-jǐ-gēng-xīn-rén-guǐ (these characters are sometimes used as ordinal numbers}<br /><br />{Compare with 夫 fū man and 无 wú without}
而|[ér] (=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so
能|[néng] can, be able; 能够 nénggòu be capable of; 可能 kě'néng maybe
好|[hǎo] good, good to..., easy to...; 你好! Nǐhǎo! Hello!<br /><br />[hào] to like<br /><br />[hāo] 好好儿 hǎohāor in perfectly good condition
都|[dōu] all<br /><br />[dū] (=首都 shǒudū) capital city
然|[rán] right, correct, so, like that; 虽然 suīrán although; 忽然 hūrán suddenly; 当然 dāngrán of course; 自然 zìrán nature
沒|[méi] (=没有 méiyǒu) haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?<br /><br />[mò] sink, overflow, disappear, confiscate
日|[rì] sun, (=日子 rìzi) day; 日记 rìjì diary; 日光 rìguāng sunlight<br /><br />{Compare with 曰 yuē say, 目 mù eye and 甘 gān sweet}
于|[yú] {family name}>, (F於) in, at, for, to, from, by, than<br /><br />{Compare with 千 qiān thousand and 干 gān stem}
起|[qǐ] rise, start; 起来 qǐlai get up; 对不起 duìbuqǐ excuse me<br /><br />[qi] (when used as a verb complement)
還|[hái] still, yet<br /><br />[huán] return, give back
发|[fā] (F發) deliver, utter, express, shoot, emit, develop, expand<br /><br />[fà] (F髮) hair<br /><br />[fa] (F髮) 头发 tóufa hair
成|[chéng] (=成为 chéngwéi, =变成 biànchéng) become, {family name}>; 成功 chénggōng succeed; 完成 wánchéng accomplish, complete, fulfill; 成语 chéngyǔ idiom
事|[shì] matter, affair, thing, event, accident, job, responsibility; 事情 shìqing situation
祇|[zhǐ] only, just, merely, {classifier implying "one of a pair", animals, vessels, utensils, etc.}>; 一只猫 yì zhǐ māo a cat<br /><br />[zhī] (F隻) single, one, only<br /><br />{Compare with 兄 xiōng brother}
作|[zuò] do, make; 工作 gōngzuò work; 作业 zuòyè homework<br /><br />[zuó] 作践 zuójian spoil, waste, humiliate, insult<br /><br />[zuō] do
当|[dāng] (F當) serve as, (F噹) ding-dong<br /><br />[dàng] (F當) proper, right, equal, (=当作 dàngzuò) treat as, regard as
想|[xiǎng] think, feel, consider, want, remember
看|[kàn] see, look at, read, think, consider<br /><br />[kān] look after, tend; 看守 kānshǒu guard
文|[wén] language, literature, {family name}>; 文化 wénhuà culture; 中文 Zhōngwén Chinese (written) language
無|[wú] without, nothingness, have not<br /><br />[mó] 南无 nánmó {Sanskrit}> to give oneself totally to<br /><br />{Compare with 天 tiān heaven}
開|[kāi] open; 开始 kāishǐ begin 打开 dǎkāi open, unfold<br /><br />[kai] (when used as a verb complement)<br /><br />{Compare with 并 bìng combine}
手|[shǒu] hand, a person skilled in something; 挥手 huīshǒu wave; 拍手 pāishǒu clap; 握手 wòshǒu shake/clasp hands<br /><br />{Compare with 毛 máo hair}
十(A拾)|[shí] ten; 十三 shísān thirteen; 五十 wǔshí fifty; 十月 shíyuè October
用|[yòng] use; 好用 hǎoyòng useful; 不用 búyòng there's no need; 使用 shǐyòng use, apply<br /><br />{Compare with 甩 shuǎi swing}
主|[zhǔ] lord, master, host, god, (=主要 zhǔyào) main, primary; 主义 zhǔyì doctrine, ~ism; 主页 zhùyè homepage<br /><br />{Compare with 王 wáng king}
行|[xíng] go, OK; 行动 xíngdòng action, operation, move, get about, act<br /><br />[háng] line; 银行 yínháng bank; 行业 hángyè profession<br /><br />[hàng] 树行子 shùhàngzi rows of trees<br /><br />[héng] (phonetic radical)
方|[fāng] side, square; 地方 dìfang place; 方面 fāngmiàn aspect<br /><br />{Compare with 万 wàn ten thousand}
又|[yòu] again, both... and...
如|[rú] like, as, as if, (=如果 rúguǒ) if; 如此 rúcǐ like this
前|[qián] in front, previous, ago, former, first; 前天 the day before yesterday
所|[suǒ] place; 所以 suǒyǐ so, therefore; 所有 suǒyǒu all; 厕所 cèsuǒ toilet
本|[běn] basis, origin, edition, {classifier for books, periodicals, files, etc.}>; 本人 běnrén I, me, myself; 日本 Rìběn Japan<br /><br />{Compare with 木 mù tree}
見|[jiàn] appear to be, meet with, call on, (=看见 kànjian) see; 意见 yìjian idea, view, opinion; 听见 tīngjiàn hear<br /><br />[xiàn] show, appear, become visible<br /><br />{Compare with 贝 bèi shellfish}
經|[jīng] longitude (both geographic and in Chinese medecin), scripture, constant, regular, {family name}>, deal with, (=经纪 jīngjì) manage (a business); 已经 yǐjing already; 经过 jīngguò pass, go through; 经验 jīngyàn experience; 经由 jīngyóu via, by way of; 经常 jīngcháng frequent, daily; 易经 Yìjīng Book of Changes;
頭|[tóu] head, top, first, {classifier for livestock, garlic, etc.}>; 头发 tóufa hair<br /><br />[tou] 石头 shítou stone
面|[miàn] face, surface, {classifier for mirrors, flags, etc.}>, (F麵) wheat flour, (=面条 miàntiáo) noodle; 面包 miànbāo bread
公|[gōng] public, official; 公里 gōnglǐ kilometer; 办公室 bàngōngshì office; 公司 gōngsī company; 公共 gōnggòng public, communal, common; 公共汽车 gōnggòngqìchē (public) bus; 李公 Lǐgōng (honorable and old) Mr Li
同|[tóng] same, with; 同志 tóngzhì comrade<br /><br />[tòng] (F衕) 胡同 hútòng lane
三(A叁)|[sān] three; 第三世界 dì-sān shìjiè 3rd World; 三月 sānyuè March
已|[yǐ] stop, cease, end, (=已经 yǐjīng) already<br /><br />{Compare with 己 jǐ self, which is "open" on the left side}
老|[lǎo] old, venerable, outdated; 老师 lǎoshī teacher; 老虎 lǎohǔ tiger; 老张 lǎo Zhāng old Zhang = dear (friend) Mr Zhang
從|[cóng] from, through, join, follower, secondary<br /><br />[cōng] 黑从从 hēicōngcōng murky
動|[dòng] move, change, arouce; 动物 dòngwù animal; 活动 huódòng activity; 运动 yùndòng sports
兩|[liǎng] two (before classifier), 50 grams
長|[cháng] long, lasting, length<br /><br />[zhǎng] grow up, chief, head, older, elder
知|[zhī] realize, sense, inform, tell, (=知道 zhīdao) know; 知识 zhīshi knowledge<br /><br />[zhì] (=智 zhì) wit, (=智慧 zhìhuì) wisdom, (=智力 zhìlì) intellect
民|[mín] (=人民 rénmín) people, {family name}>; 民主 mǐnzhǔ democracy
樣|[yàng] appearance, shape, form, manner; 这样 zhèyàng like this; 怎么样 zěnmeyàng how? in what way?
現|[xiàn] show, appear, current; 现在 xiànzài now; 发现 fāxiàn discover; 现代 xiàndài modern
分|[fēn] divide, fraction, minute, cent; 百分之五 bǎifēnzhīwǔ = 5/100 = 5%<br /><br />[fèn] limits of rights or duty
將|[jiāng] shall; 将来 jiānglái future<br /><br />[jiàng] general, a piece in Chinese chess 麻将 májiàng mahjongg
外|[wài] outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side; 外孙 wàisūn daugthers son; 外国人 wàiguórén foreigner; 意外 yìwài unexpected<br /><br />{Compare with 处 chù place}
但|[dàn] (=但是 dànshì) but, still, nevertheless, however, yet
身|[shēn] life, incarnation, {classifier for suits of clothing}>, (=身体 shēntǐ) body; 亲身 qīnshēn in person, personally
些|[xiē] some, {classifier for plural or indefinite/small amount}>; 一些 yìxiē a number of, some; 这些人 zhèxiē rén these people
與|[yǔ] give, offer, help, support, and<br /><br />[yù] 参与 cānyù participate in<br /><br />[yú] 欤 {interrogative/esclamative particle}><br /><br />{Compare with 写 xiě write}
高|[gāo] high, tall, loud, {polite}> your, {family name}>; 提高 tígāo improve; 高兴 gāoxìng happy; 高见 gāojiàn {polite}> your opinion/idea
意|[yì] (=意思 yìsi, =意义 yìyì) meaning, idea, (=愿意 yuànyi) wish, desire; 意图 yìtú intention; 意见 yìjian opinion; 意大利 Yìdàlì Italy
進|[jìn] enter, go forward, recieve, drink, eat, submit; 进步 jìnbù progress
